/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 13200: tokens=628714560/1000000000 (62.9%), loss=0.1105, FVU=0.0098, dead_frac=0.000, throughput=34998 tok/s, ETA=2.9h
step 13300: tokens=633478560/1000000000 (63.3%), loss=0.1133, FVU=0.0098, dead_frac=0.000, throughput=34997 tok/s, ETA=2.9h
step 13400: tokens=638221464/1000000000 (63.8%), loss=0.1140, FVU=0.0098, dead_frac=0.000, throughput=35001 tok/s, ETA=2.9h
step 13500: tokens=643000392/1000000000 (64.3%), loss=0.1017, FVU=0.0087, dead_frac=0.000, throughput=35004 tok/s, ETA=2.8h
step 13600: tokens=647734752/1000000000 (64.8%), loss=0.1010, FVU=0.0084, dead_frac=0.000, throughput=35003 tok/s, ETA=2.8h
step 13700: tokens=652505040/1000000000 (65.3%), loss=0.1064, FVU=0.0100, dead_frac=0.000, throughput=35005 tok/s, ETA=2.8h
step 13800: tokens=657280824/1000000000 (65.7%), loss=0.1080, FVU=0.0093, dead_frac=0.000, throughput=35005 tok/s, ETA=2.7h
step 13900: tokens=662033616/1000000000 (66.2%), loss=0.1031, FVU=0.0089, dead_frac=0.000, throughput=35005 tok/s, ETA=2.7h
step 14000: tokens=666807864/1000000000 (66.7%), loss=0.1053, FVU=0.0094, dead_frac=0.000, throughput=35008 tok/s, ETA=2.6h
step 14100: tokens=671562192/1000000000 (67.2%), loss=0.1100, FVU=0.0093, dead_frac=0.000, throughput=35008 tok/s, ETA=2.6h
step 14200: tokens=676330944/1000000000 (67.6%), loss=0.1112, FVU=0.0100, dead_frac=0.000, throughput=35007 tok/s, ETA=2.6h
step 14300: tokens=681111528/1000000000 (68.1%), loss=0.1054, FVU=0.0090, dead_frac=0.000, throughput=35006 tok/s, ETA=2.5h
step 14400: tokens=685884456/1000000000 (68.6%), loss=0.1067, FVU=0.0089, dead_frac=0.000, throughput=35004 tok/s, ETA=2.5h
step 14500: tokens=690636072/1000000000 (69.1%), loss=0.1095, FVU=0.0094, dead_frac=0.000, throughput=35003 tok/s, ETA=2.5h
step 14600: tokens=695422896/1000000000 (69.5%), loss=0.1013, FVU=0.0088, dead_frac=0.000, throughput=34998 tok/s, ETA=2.4h
step 14700: tokens=700192440/1000000000 (70.0%), loss=0.1086, FVU=0.0091, dead_frac=0.000, throughput=35001 tok/s, ETA=2.4h
step 14800: tokens=704936328/1000000000 (70.5%), loss=0.1011, FVU=0.0090, dead_frac=0.000, throughput=35000 tok/s, ETA=2.3h
step 14900: tokens=709696608/1000000000 (71.0%), loss=0.1038, FVU=0.0089, dead_frac=0.000, throughput=34999 tok/s, ETA=2.3h
step 15000: tokens=714443016/1000000000 (71.4%), loss=0.1079, FVU=0.0089, dead_frac=0.000, throughput=35000 tok/s, ETA=2.3h
step 15100: tokens=719197800/1000000000 (71.9%), loss=0.1126, FVU=0.0097, dead_frac=0.000, throughput=34999 tok/s, ETA=2.2h
step 15200: tokens=723951024/1000000000 (72.4%), loss=0.1119, FVU=0.0097, dead_frac=0.000, throughput=34996 tok/s, ETA=2.2h
step 15300: tokens=728726856/1000000000 (72.9%), loss=0.1058, FVU=0.0091, dead_frac=0.000, throughput=34999 tok/s, ETA=2.2h
step 15400: tokens=733449288/1000000000 (73.3%), loss=0.1064, FVU=0.0092, dead_frac=0.000, throughput=34998 tok/s, ETA=2.1h
step 15500: tokens=738177288/1000000000 (73.8%), loss=0.1089, FVU=0.0086, dead_frac=0.000, throughput=35000 tok/s, ETA=2.1h
step 15600: tokens=742943424/1000000000 (74.3%), loss=0.1087, FVU=0.0090, dead_frac=0.000, throughput=34999 tok/s, ETA=2.0h
step 15700: tokens=747708336/1000000000 (74.8%), loss=0.1125, FVU=0.0098, dead_frac=0.000, throughput=35001 tok/s, ETA=2.0h
step 15800: tokens=752493000/1000000000 (75.2%), loss=0.1080, FVU=0.0093, dead_frac=0.000, throughput=35000 tok/s, ETA=2.0h
step 15900: tokens=757256832/1000000000 (75.7%), loss=0.1045, FVU=0.0088, dead_frac=0.000, throughput=35001 tok/s, ETA=1.9h
step 16000: tokens=762039624/1000000000 (76.2%), loss=0.1024, FVU=0.0090, dead_frac=0.000, throughput=35001 tok/s, ETA=1.9h
step 16100: tokens=766821240/1000000000 (76.7%), loss=0.1018, FVU=0.0091, dead_frac=0.000, throughput=34996 tok/s, ETA=1.9h
step 16200: tokens=771581112/1000000000 (77.2%), loss=0.1081, FVU=0.0091, dead_frac=0.000, throughput=34997 tok/s, ETA=1.8h
step 16300: tokens=776371368/1000000000 (77.6%), loss=0.1040, FVU=0.0090, dead_frac=0.000, throughput=34996 tok/s, ETA=1.8h
step 16400: tokens=781149528/1000000000 (78.1%), loss=0.1088, FVU=0.0094, dead_frac=0.000, throughput=34996 tok/s, ETA=1.7h
step 16500: tokens=785923728/1000000000 (78.6%), loss=0.1110, FVU=0.0096, dead_frac=0.000, throughput=34997 tok/s, ETA=1.7h
step 16600: tokens=790691064/1000000000 (79.1%), loss=0.1110, FVU=0.0096, dead_frac=0.000, throughput=35001 tok/s, ETA=1.7h
step 16700: tokens=795461640/1000000000 (79.5%), loss=0.1024, FVU=0.0087, dead_frac=0.000, throughput=35001 tok/s, ETA=1.6h
step 16800: tokens=800244024/1000000000 (80.0%), loss=0.1154, FVU=0.0103, dead_frac=0.000, throughput=34998 tok/s, ETA=1.6h
step 16900: tokens=805024032/1000000000 (80.5%), loss=0.1126, FVU=0.0100, dead_frac=0.000, throughput=35001 tok/s, ETA=1.5h
step 17000: tokens=809782560/1000000000 (81.0%), loss=0.1129, FVU=0.0104, dead_frac=0.000, throughput=34999 tok/s, ETA=1.5h
step 17100: tokens=814556112/1000000000 (81.5%), loss=0.1047, FVU=0.0088, dead_frac=0.000, throughput=34998 tok/s, ETA=1.5h
step 17200: tokens=819308976/1000000000 (81.9%), loss=0.1043, FVU=0.0100, dead_frac=0.000, throughput=34991 tok/s, ETA=1.4h
step 17300: tokens=824064936/1000000000 (82.4%), loss=0.0988, FVU=0.0082, dead_frac=0.000, throughput=34980 tok/s, ETA=1.4h
step 17400: tokens=828820296/1000000000 (82.9%), loss=0.1044, FVU=0.0087, dead_frac=0.000, throughput=34979 tok/s, ETA=1.4h
step 17500: tokens=833587560/1000000000 (83.4%), loss=0.1123, FVU=0.0095, dead_frac=0.000, throughput=34978 tok/s, ETA=1.3h
step 17600: tokens=838354392/1000000000 (83.8%), loss=0.1109, FVU=0.0094, dead_frac=0.000, throughput=34981 tok/s, ETA=1.3h
step 17700: tokens=843102432/1000000000 (84.3%), loss=0.1111, FVU=0.0090, dead_frac=0.000, throughput=34984 tok/s, ETA=1.2h
step 17800: tokens=847843824/1000000000 (84.8%), loss=0.1056, FVU=0.0093, dead_frac=0.000, throughput=34984 tok/s, ETA=1.2h
step 17900: tokens=852605328/1000000000 (85.3%), loss=0.1084, FVU=0.0088, dead_frac=0.000, throughput=34983 tok/s, ETA=1.2h
step 18000: tokens=857365248/1000000000 (85.7%), loss=0.1101, FVU=0.0097, dead_frac=0.000, throughput=34986 tok/s, ETA=1.1h
step 18100: tokens=862145568/1000000000 (86.2%), loss=0.1023, FVU=0.0092, dead_frac=0.000, throughput=34982 tok/s, ETA=1.1h
step 18200: tokens=866892120/1000000000 (86.7%), loss=0.1096, FVU=0.0102, dead_frac=0.000, throughput=34982 tok/s, ETA=1.1h
step 18300: tokens=871667040/1000000000 (87.2%), loss=0.1012, FVU=0.0091, dead_frac=0.000, throughput=34984 tok/s, ETA=1.0h
step 18400: tokens=876439848/1000000000 (87.6%), loss=0.1102, FVU=0.0095, dead_frac=0.000, throughput=34983 tok/s, ETA=1.0h
step 18500: tokens=881207592/1000000000 (88.1%), loss=0.1016, FVU=0.0086, dead_frac=0.000, throughput=34986 tok/s, ETA=0.9h
