/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 10800: tokens=510975264/1000000000 (51.1%), loss=0.1053, FVU=0.0339, dead_frac=0.003, throughput=33908 tok/s, ETA=4.0h
step 10900: tokens=515758584/1000000000 (51.6%), loss=0.1109, FVU=0.0352, dead_frac=0.003, throughput=33913 tok/s, ETA=4.0h
step 11000: tokens=520536192/1000000000 (52.1%), loss=0.1088, FVU=0.0342, dead_frac=0.003, throughput=33918 tok/s, ETA=3.9h
step 11100: tokens=525320472/1000000000 (52.5%), loss=0.1112, FVU=0.0356, dead_frac=0.004, throughput=33922 tok/s, ETA=3.9h
step 11200: tokens=530132496/1000000000 (53.0%), loss=0.1093, FVU=0.0344, dead_frac=0.004, throughput=33926 tok/s, ETA=3.8h
step 11300: tokens=534921480/1000000000 (53.5%), loss=0.1053, FVU=0.0336, dead_frac=0.004, throughput=33929 tok/s, ETA=3.8h
step 11400: tokens=539708616/1000000000 (54.0%), loss=0.1020, FVU=0.0323, dead_frac=0.004, throughput=33933 tok/s, ETA=3.8h
step 11500: tokens=544519464/1000000000 (54.5%), loss=0.1120, FVU=0.0368, dead_frac=0.005, throughput=33936 tok/s, ETA=3.7h
step 11600: tokens=549317256/1000000000 (54.9%), loss=0.1000, FVU=0.0313, dead_frac=0.005, throughput=33940 tok/s, ETA=3.7h
step 11700: tokens=554130912/1000000000 (55.4%), loss=0.1103, FVU=0.0352, dead_frac=0.005, throughput=33944 tok/s, ETA=3.6h
step 11800: tokens=558888984/1000000000 (55.9%), loss=0.1109, FVU=0.0354, dead_frac=0.005, throughput=33948 tok/s, ETA=3.6h
step 11900: tokens=563678088/1000000000 (56.4%), loss=0.1030, FVU=0.0325, dead_frac=0.005, throughput=33952 tok/s, ETA=3.6h
step 12000: tokens=568440624/1000000000 (56.8%), loss=0.1004, FVU=0.0314, dead_frac=0.005, throughput=33956 tok/s, ETA=3.5h
